0,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
C-01,1821.4,1978.1,2085.6,2160.6,2050.0,2135.0,2124.4,2170.5,2249.5,2113.7,2244.3,2057.8,1998.5,2049.8,2138.2,2168.1,2179.0,2198.4,2217.2,2125.8,2188.6,2231.4,2236.3,2129.6,2042.5,1987.4,2083.5,2181.4,2185.8,2125.4,2060.3,2139.1,2062.9,2166.2,2209.0,2076.5,1978.3,1889.2,1889.8,2048.3,2086.0,2235.4
C-02,182.5,190.2,186.3,181.5,183.9,200.6,193.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-03,2083.2,2076.3,2402.3,2590.9,2576.2,2616.1,2614.6,2637.6,2759.9,2552.0,2685.1,2349.2,2076.9,2067.0,2567.0,2596.1,2557.3,2575.8,2576.2,2540.2,2527.0,2575.9,2572.5,2509.5,2465.8,2381.8,2510.7,2558.4,2560.4,2506.9,2461.3,2491.6,2438.1,2479.1,2431.8,2390.7,2358.3,2302.0,2319.3,2407.5,2364.5,2445.6
C-04,3461.7,3380.9,3534.0,3436.8,3428.8,3535.7,3518.2,3561.5,3606.3,3483.9,3610.2,3527.8,3447.4,3197.5,3624.8,3565.4,3450.6,3652.8,3600.5,3582.4,3556.6,3617.7,3513.5,3324.3,3335.8,3286.6,3425.4,3473.4,3464.4,3411.5,3363.0,3345.7,3291.5,3286.6,3289.7,3192.5,3102.4,3111.7,3018.3,3068.1,2981.3,3128.3
C-05,2747.8,2918.9,2959.4,2977.6,2947.5,3008.2,2958.1,3025.4,3094.1,2966.0,3092.1,2966.4,2885.2,2882.1,3006.7,3010.6,2979.7,2992.5,3177.4,3143.7,3187.2,3298.2,3345.1,3359.4,2908.9,2727.6,2846.7,2903.4,2877.1,2883.6,2867.5,2866.0,2807.0,3007.5,3115.9,3007.1,2867.5,2838.2,2751.9,2829.6,2798.2,2915.0
C-06,1114.0,1186.9,1185.4,1264.8,1209.1,1227.3,1200.2,1214.4,1266.3,1130.0,1265.1,1207.4,1176.1,1163.7,1211.1,1216.5,1192.3,1189.9,1206.1,1194.8,1181.6,1223.8,1235.0,1209.2,935.3,868.9,921.2,960.0,950.9,923.6,931.2,931.6,927.1,978.0,969.2,917.0,865.0,854.8,812.0,839.1,867.2,921.1
C-07,2213.8,2334.6,2489.3,2601.9,2484.5,2490.1,2374.2,2501.3,2390.6,2440.3,2608.0,2491.8,2412.2,2405.3,2480.5,2482.6,2428.6,2522.7,2720.7,2668.6,2650.2,2819.0,2882.3,2806.9,2380.9,2163.0,2274.2,2328.0,2275.7,2191.6,2208.2,2289.7,2264.1,2385.4,2328.1,2204.8,2036.0,2008.5,1875.3,1935.8,1943.3,2049.3
C-08,1172.3,1250.6,1238.6,1261.0,1212.6,1249.5,1222.9,1255.1,1297.0,1166.9,1244.6,1205.2,1171.2,1166.5,1205.0,1184.1,1203.6,1214.3,1233.1,1208.8,1174.8,1221.9,1263.3,1236.5,1140.6,1082.3,1129.1,1164.1,1153.3,1118.9,1124.2,1119.2,1118.8,1080.5,1156.5,1088.0,1048.3,1031.4,981.2,965.3,,1087.2
C-09,2099.2,2178.8,2180.5,2234.4,2213.6,2228.4,2187.9,2159.1,2292.5,2178.4,2288.8,2234.4,2206.8,2217.6,2231.8,2231.7,2222.4,2201.7,2177.8,2157.5,2170.3,2194.3,2196.7,2163.9,1924.1,1898.8,2005.9,2006.6,1997.1,,1983.6,1982.7,1974.2,2022.8,2087.3,1984.9,1889.0,1853.9,1771.2,1841.2,1881.1,1930.0
C-10,1282.1,1338.2,1356.3,1407.8,1387.0,1412.1,1382.9,1411.8,1474.4,1384.0,1485.7,1403.2,1368.6,1380.0,1439.6,1455.2,1437.7,1452.3,1411.8,1372.3,1375.3,1425.0,1408.2,1374.5,1217.6,1167.2,1271.7,1273.4,1270.9,1240.2,1230.0,1248.9,1200.1,1238.5,1249.5,1163.8,1111.2,1080.1,1040.2,1099.8,1141.3,1209.5
